Product Name,Product URL,Description,Price
+1,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00477177,"plate/bowl set of 3, dot pattern/light green",49.9
+1,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-40485439,"serving plate, white, 38x22 cm",89.9
+1,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-60478169,"deep plate, matt green, 19 cm",69.9
+2,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00477182,"serving plate, glass grey, 29 cm",199.9
+2,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00478172,"plate, stoneware grey, 27 cm",129.9
+2,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00485436,"deep plate, glossy brown, 19 cm",69.9
+2,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-30477171,"plate, patterned/blue, 26 cm",69.9
+2,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-30478175,"plate, glossy brown, 30x18 cm",119.9
+2,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-30479636,"plate, off-white, 26 cm",89.9
BACKIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/backig-art-00439048,"deep plate, stoneware pale grey-green, 23 cm",129.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00477177,"deep plate, patterned/blue, 19 cm",69.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00477182,"side plate, stoneware grey, 21 cm",99.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00478172,"deep plate, stoneware grey, 23 cm",129.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00485436,"side plate, glossy brown, 20 cm",69.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00485455,"serving plate, patterned/blue, 34 cm",119.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-10485445,"side plate, white, 20 cm",17.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-30477171,"deep plate, glossy brown, 23 cm",99.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-30478175,"deep plate, off-white, 22 cm",89.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-30479636,"deep plate, matt light turquoise, 19 cm",69.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-40485439,"side plate, flower pattern dark grey, 20 cm",34.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-60478169,"plate, white, 28 cm",39.9
GODMIDDAG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/godmiddag-art-60585027,"deep plate, glossy dark turquoise, 23 cm",99.9
GODMIDDAG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/godmiddag-art-80585031,"deep plate, glossy dark turquoise, 19 cm",69.9
HÖSTAGILLE,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/hostagille-art-60575778,"deep plate, white, 19 cm",17.9
MOSSMAL,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/mossmal-art-10582781,"side plate, stoneware blue, 21 cm",99.9
NEW,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/vinterfint-art-70580114,"plate, dark grey, 26 cm",149.9
OMBONAD,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/ombonad-art-40502957,"deep plate, black, 20x20 cm",99.9
PARADISISK,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/paradisisk-art-10483465,"deep plate, glossy beige, 19 cm",69.9
PARADISISK,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/paradisisk-art-80451003,"deep plate, matt light pink, 19 cm",69.9
SILVERSIDA,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/silversida-art-10565687,"deep plate, matt light pink, 23 cm",99.9
SILVERSIDA,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/silversida-art-90565693,"side plate, mixed colours, 17 cm",129.9
STRIMMIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/strimmig-art-40505687,,
STRIMMIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/strimmig-art-50505639,,
STRIMMIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/strimmig-art-60505648,,
STRIMMIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/strimmig-art-90505642,,
STRIMMIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/strimmig-art-90567668,,
UPPLAGA,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/upplaga-art-90424698,,
VINTERFINT,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/vinterfint-art-70580114,,
