Product Name,Product URL,Description,Price,Image URL,Local Image Path
NÄTBARB,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/natbarb-art-60563695,"plate, glossy brown, 26 cm",29.9,https://www.ikea.com.hk/dairyfarm/hk/images/983/1198379_PE904045_S4.jpg,product_images/73379506ab203b0a1de1927c79d3271b.jpg
OFANTLIGT,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/ofantligt-art-40319020,"deep plate, black, 19 cm",69.9,https://www.ikea.com.hk/dairyfarm/hk/images/123/0712375_PE728794_S4.jpg,product_images/dd2761486bfc81913c4d3871d8e1647d.jpg
OFTAST,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/oftast-art-10258914,"side plate, off-white, 20 cm",99.9,https://www.ikea.com.hk/dairyfarm/hk/images/123/0712367_PE728786_S4.jpg,product_images/e7d83f4e571ccf7e6899f28b1b64beb4.jpg
OFTAST,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/oftast-art-20318941,"deep plate, stoneware blue, 23 cm",17.9,https://www.ikea.com.hk/dairyfarm/hk/images/123/0712360_PE728779_S4.jpg,product_images/9db1693b4dbba4de7078874f8e14ae63.jpg
OFTAST,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/oftast-art-40318940,"plate, stoneware pale grey-green, 27 cm",69.9,https://www.ikea.com.hk/dairyfarm/hk/images/135/0713530_PE729595_S4.jpg,product_images/2ad3e0ad5da6fbfa15712e2a17ed4a12.jpg
OMBONAD,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/ombonad-art-00502959,"serving plate, white, 36x22 cm",129.9,https://www.ikea.com.hk/dairyfarm/hk/images/627/1062765_PE850994_S4.jpg,product_images/fdb543d72154219f337fae27b141564e.jpg
PARADISISK,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/paradisisk-art-80483462,"deep plate, light grey-beige, 21 cm",129.9,https://www.ikea.com.hk/dairyfarm/hk/images/627/1062789_PE851012_S4.jpg,product_images/3c908f53ef1993a6e3282a8d0271e606.jpg
SANDSKÄDDA,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/sandskadda-art-90559442,"serving plate, stainless steel, 32 cm",59.9,https://www.ikea.com.hk/dairyfarm/hk/images/994/1199405_PE904480_S4.jpg,product_images/085ef30dbd56c6c24ceeb963bd47b89d.jpg
SILVERSIDA,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/silversida-art-40565695,"deep plate, matt light turquoise, 23 cm",89.9,https://www.ikea.com.hk/dairyfarm/hk/images/836/1183682_PE897542_S4.jpg,product_images/4b0b3cbae0e6e122f7742588cfa9b1c2.jpg
STRIMMIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/strimmig-art-10567672,"side plate, stoneware pale grey-green, 21 cm",59.9,https://www.ikea.com.hk/dairyfarm/hk/images/900/1290033_PE934480_S4.jpg,product_images/46fd79e09bd0f5fdb17de9b6a3856746.jpg
STRIMMIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/strimmig-art-30505683,"deep plate, matt light grey, 23 cm",99.9,https://www.ikea.com.hk/dairyfarm/hk/images/280/1028059_PE835195_S4.jpg,product_images/c8b9cdb00f2afe1a7c0b8eb7271d20e0.jpg
STRIMMIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/strimmig-art-70567669,"serving plate, stoneware grey, 29 cm",99.9,https://www.ikea.com.hk/dairyfarm/hk/images/900/1290021_PE934470_S4.jpg,product_images/35338b97a82499aad58896eae167e9dd.jpg
STRIMMIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/strimmig-art-90505680,"deep plate, matt green, 23 cm",99.9,https://www.ikea.com.hk/dairyfarm/hk/images/280/1028055_PE835193_S4.jpg,product_images/7532e15cf9019732f44b01448706340e.jpg
UPPLAGA,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/upplaga-art-30424719,"deep plate, white, 26 cm",79.9,https://www.ikea.com.hk/dairyfarm/hk/images/145/0714545_PE730121_S4.jpg,product_images/2f8aa5b6be184037bcaf6f76b5dc2351.jpg
UPPLAGA,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/upplaga-art-50424704,"side plate, dot pattern/light green, 18 cm",99.9,https://www.ikea.com.hk/dairyfarm/hk/images/145/0714567_PE730130_S4.jpg,product_images/6d1e1b99edc3b716af3d1183b9cf1374.jpg
VÄRDERA,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/vardera-art-70277349,"deep plate, white, 24 cm",39.9,https://www.ikea.com.hk/dairyfarm/hk/images/123/0712388_PE728764_S4.jpg,product_images/a94e6d94cf7c0a1b52f1157844c95e3e.jpg
VÄRDERA,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/vardera-art-80277358,"plate, stoneware blue, 27 cm",29.9,https://www.ikea.com.hk/dairyfarm/hk/images/123/0712359_PE728778_S4.jpg,product_images/e7c2b65f433c7da926e9f40ec0e16f7d.jpg
VÄRDERA,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/vardera-art-90277353,"side plate, dark grey, 20 cm",79.9,https://www.ikea.com.hk/dairyfarm/hk/images/135/0713517_PE729599_S4.jpg,product_images/4081f06ef4789be2cf21f49b6fcd8407.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00477177,"plate/bowl set of 3, dot pattern/light green",49.9,https://www.ikea.com.hk/dairyfarm/hk/images/589/0958961_PE805563_S4.jpg,product_images/1f53ef4523ebb11b1fde51857316036a.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-40485439,"serving plate, white, 38x22 cm",89.9,https://www.ikea.com.hk/dairyfarm/hk/images/855/1085547_PE860145_S4.jpg,product_images/fea7306e6edc51adc1df7c9a4b1ad312.jpg
